Year,Month,Day,Date,Percipitation (m3/s),Obs Streamflow (m3/s),PET (m3/s)
1975.0,1.0,1.0,1975-01-01,0.0,0.04700253314814815,21.827755009107467
1975.0,1.0,2.0,1975-01-02,0.0,0.0450024253587963,21.827755009107467
1975.0,1.0,3.0,1975-01-03,40.37430555555556,0.044002371458333335,21.827755009107467
1975.0,1.0,4.0,1975-01-04,3.865625,0.050002694837962956,21.827755009107467
1975.0,1.0,5.0,1975-01-05,0.0,0.048002587048611114,21.827755009107467
1975.0,1.0,6.0,1975-01-06,0.0,0.05400291042824074,21.827755009107467
1975.0,1.0,7.0,1975-01-07,0.0,0.05800312600694445,21.827755009107467
1975.0,1.0,8.0,1975-01-08,0.0,0.0770041500462963,21.827755009107467
1975.0,1.0,9.0,1975-01-09,0.0,0.061003287696759265,21.827755009107467
1975.0,1.0,10.0,1975-01-10,46.81701388888889,0.061003287696759265,21.827755009107467
1975.0,1.0,11.0,1975-01-11,0.0,0.06200334159722223,21.827755009107467
1975.0,1.0,12.0,1975-01-12,0.0,0.0670036110763889,21.827755009107467
1975.0,1.0,13.0,1975-01-13,0.0,0.06300339549768519,21.827755009107467
1975.0,1.0,14.0,1975-01-14,0.0,0.07100382666666667,21.827755009107467
1975.0,1.0,15.0,1975-01-15,0.0,0.0770041500462963,21.827755009107467
1975.0,1.0,16.0,1975-01-16,0.0,0.06900371887731481,21.827755009107467
1975.0,1.0,17.0,1975-01-17,0.0,0.06000323380787038,21.827755009107467
1975.0,1.0,18.0,1975-01-18,0.0,0.05400291042824074,21.827755009107467
1975.0,1.0,19.0,1975-01-19,0.0,0.04600247924768519,21.827755009107467
1975.0,1.0,20.0,1975-01-20,0.0,0.03800204807870371,21.827755009107467
1975.0,1.0,21.0,1975-01-21,0.0,0.03500188638888889,21.827755009107467
1975.0,1.0,22.0,1975-01-22,0.0,0.03000161689814815,21.827755009107467
1975.0,1.0,23.0,1975-01-23,0.0,0.026001401319444443,21.827755009107467
1975.0,1.0,24.0,1975-01-24,0.0,0.025001347418981478,21.827755009107467
1975.0,1.0,25.0,1975-01-25,21.475694444444443,0.025001347418981478,21.827755009107467
1975.0,1.0,26.0,1975-01-26,30.06597222222222,0.025001347418981478,21.827755009107467
1975.0,1.0,27.0,1975-01-27,0.0,0.025001347418981478,21.827755009107467
1975.0,1.0,28.0,1975-01-28,0.0,0.025001347418981478,21.827755009107467
1975.0,1.0,29.0,1975-01-29,0.0,0.027001455208333334,21.827755009107467
1975.0,1.0,30.0,1975-01-30,0.0,0.044002371458333335,21.827755009107467
1975.0,1.0,31.0,1975-01-31,0.0,0.04600247924768519,21.827755009107467
1975.0,2.0,1.0,1975-02-01,0.0,0.03800204807870371,19.01127049180328
1975.0,2.0,2.0,1975-02-02,0.0,0.03200172469907407,19.01127049180328
1975.0,2.0,3.0,1975-02-03,0.0,0.02900156300925926,19.01127049180328
1975.0,2.0,4.0,1975-02-04,0.0,0.028001509108796296,19.01127049180328
1975.0,2.0,5.0,1975-02-05,0.0,0.028001509108796296,19.01127049180328
1975.0,2.0,6.0,1975-02-06,0.0,0.027001455208333334,19.01127049180328
1975.0,2.0,7.0,1975-02-07,0.0,0.027001455208333334,19.01127049180328
1975.0,2.0,8.0,1975-02-08,0.0,0.025001347418981478,19.01127049180328
1975.0,2.0,9.0,1975-02-09,0.0,0.025001347418981478,19.01127049180328
1975.0,2.0,10.0,1975-02-10,4.295138888888889,0.02400129351851852,19.01127049180328
1975.0,2.0,11.0,1975-02-11,133.14930555555554,0.022001185729166668,19.01127049180328
1975.0,2.0,12.0,1975-02-12,26.62986111111111,0.03000161689814815,19.01127049180328
1975.0,2.0,13.0,1975-02-13,70.44027777777777,0.166008946875,19.01127049180328
1975.0,2.0,14.0,1975-02-14,18.039583333333336,0.5890317451388889,19.01127049180328
1975.0,2.0,15.0,1975-02-15,38.65624999999999,0.31501697743055557,19.01127049180328
1975.0,2.0,16.0,1975-02-16,0.0,0.20301094108796294,19.01127049180328
1975.0,2.0,17.0,1975-02-17,0.0,0.1670090008101852,19.01127049180328
1975.0,2.0,18.0,1975-02-18,0.0,0.12600679097222223,19.01127049180328
1975.0,2.0,19.0,1975-02-19,0.0,0.0940050662962963,19.01127049180328
1975.0,2.0,20.0,1975-02-20,0.0,0.07600409615740741,19.01127049180328
1975.0,2.0,21.0,1975-02-21,0.0,0.06900371887731481,19.01127049180328
1975.0,2.0,22.0,1975-02-22,3.436111111111111,0.06200334159722223,19.01127049180328
1975.0,2.0,23.0,1975-02-23,49.82361111111111,0.0940050662962963,19.01127049180328
1975.0,2.0,24.0,1975-02-24,0.0,0.1670090008101852,19.01127049180328
1975.0,2.0,25.0,1975-02-25,0.0,0.1830098630787037,19.01127049180328
1975.0,2.0,26.0,1975-02-26,0.0,0.13900749166666665,19.01127049180328
1975.0,2.0,27.0,1975-02-27,0.0,0.10300555136574074,19.01127049180328
1975.0,2.0,28.0,1975-02-28,1.2885416666666665,0.09000485070601852,19.01127049180328
1975.0,3.0,1.0,1975-03-01,2.577083333333333,0.07900425784722223,17.603028233151182
1975.0,3.0,2.0,1975-03-02,0.0,0.07400398835648148,17.603028233151182
1975.0,3.0,3.0,1975-03-03,0.0,0.06500350328703704,17.603028233151182
1975.0,3.0,4.0,1975-03-04,0.0,0.05900317990740741,17.603028233151182
1975.0,3.0,5.0,1975-03-05,0.0,0.05800312600694445,17.603028233151182
1975.0,3.0,6.0,1975-03-06,0.0,0.05400291042824074,17.603028233151182
1975.0,3.0,7.0,1975-03-07,0.0,0.05200280262731481,17.603028233151182
1975.0,3.0,8.0,1975-03-08,0.0,0.050002694837962956,17.603028233151182
1975.0,3.0,9.0,1975-03-09,0.0,0.048002587048611114,17.603028233151182
1975.0,3.0,10.0,1975-03-10,0.0,0.048002587048611114,17.603028233151182
1975.0,3.0,11.0,1975-03-11,1.7180555555555554,0.05200280262731481,17.603028233151182
1975.0,3.0,12.0,1975-03-12,109.09652777777778,0.1450078150462963,17.603028233151182
1975.0,3.0,13.0,1975-03-13,0.0,0.14600786886574074,17.603028233151182
1975.0,3.0,14.0,1975-03-14,0.0,0.098005281875,17.603028233151182
1975.0,3.0,15.0,1975-03-15,0.0,0.07800420394675925,17.603028233151182
1975.0,3.0,16.0,1975-03-16,0.8590277777777777,0.06900371887731481,17.603028233151182
1975.0,3.0,17.0,1975-03-17,0.0,0.061003287696759265,17.603028233151182
1975.0,3.0,18.0,1975-03-18,0.0,0.05700307211805555,17.603028233151182
1975.0,3.0,19.0,1975-03-19,25.770833333333332,0.0670036110763889,17.603028233151182
1975.0,3.0,20.0,1975-03-20,0.8590277777777777,0.10100544356481482,17.603028233151182
1975.0,3.0,21.0,1975-03-21,0.0,0.11800635983796297,17.603028233151182
1975.0,3.0,22.0,1975-03-22,0.0,0.1240066832175926,17.603028233151182
1975.0,3.0,23.0,1975-03-23,0.0,0.1200064675925926,17.603028233151182
1975.0,3.0,24.0,1975-03-24,0.0,0.09900533577546297,17.603028233151182
1975.0,3.0,25.0,1975-03-25,0.0,0.0870046890162037,17.603028233151182
1975.0,3.0,26.0,1975-03-26,0.0,0.0770041500462963,17.603028233151182
1975.0,3.0,27.0,1975-03-27,0.0,0.0700037727662037,17.603028233151182
1975.0,3.0,28.0,1975-03-28,16.321527777777778,0.06900371887731481,17.603028233151182
1975.0,3.0,29.0,1975-03-29,18.039583333333336,0.1400075454861111,17.603028233151182
1975.0,3.0,30.0,1975-03-30,91.91597222222222,0.9200495849537037,17.603028233151182
1975.0,3.0,31.0,1975-03-31,0.0,0.8810474829861112,17.603028233151182
1975.0,4.0,1.0,1975-04-01,0.0,0.3450185943287037,11.265938069216757
1975.0,4.0,2.0,1975-04-02,0.0,0.21001131828703704,11.265938069216757
1975.0,4.0,3.0,1975-04-03,0.0,0.166008946875,11.265938069216757
1975.0,4.0,4.0,1975-04-04,0.0,0.14100759942129631,11.265938069216757
1975.0,4.0,5.0,1975-04-05,0.0,0.12600679097222223,11.265938069216757
1975.0,4.0,6.0,1975-04-06,0.0,0.11400614422453703,11.265938069216757
1975.0,4.0,7.0,1975-04-07,2.577083333333333,0.11300609033564814,11.265938069216757
1975.0,4.0,8.0,1975-04-08,0.0,0.10900587474537038,11.265938069216757
1975.0,4.0,9.0,1975-04-09,0.0,0.10500565915509259,11.265938069216757
1975.0,4.0,10.0,1975-04-10,0.0,0.10300555136574074,11.265938069216757
1975.0,4.0,11.0,1975-04-11,0.0,0.10200549746527778,11.265938069216757
1975.0,4.0,12.0,1975-04-12,0.0,0.098005281875,11.265938069216757
1975.0,4.0,13.0,1975-04-13,0.0,0.09500512018518519,11.265938069216757
1975.0,4.0,14.0,1975-04-14,0.0,0.09300501239583332,11.265938069216757
1975.0,4.0,15.0,1975-04-15,0.0,0.09100490460648149,11.265938069216757
1975.0,4.0,16.0,1975-04-16,0.0,0.09100490460648149,11.265938069216757
1975.0,4.0,17.0,1975-04-17,1.7180555555555554,0.09500512018518519,11.265938069216757
1975.0,4.0,18.0,1975-04-18,9.449305555555556,0.10700576695601852,11.265938069216757
1975.0,4.0,19.0,1975-04-19,145.17569444444442,0.26701439039351854,11.265938069216757
1975.0,4.0,20.0,1975-04-20,11.167361111111111,0.3980214509259259,11.265938069216757
1975.0,4.0,21.0,1975-04-21,11.167361111111111,0.3110167619212963,11.265938069216757
1975.0,4.0,22.0,1975-04-22,42.951388888888886,0.2080112105324074,11.265938069216757
1975.0,4.0,23.0,1975-04-23,73.01736111111111,0.3410183788194444,11.265938069216757
1975.0,4.0,24.0,1975-04-24,0.0,0.527028403587963,11.265938069216757
1975.0,4.0,25.0,1975-04-25,0.0,0.29301579178240744,11.265938069216757
1975.0,4.0,26.0,1975-04-26,0.0,0.2080112105324074,11.265938069216757
1975.0,4.0,27.0,1975-04-27,0.0,0.17600948587962964,11.265938069216757
1975.0,4.0,28.0,1975-04-28,0.0,0.16000862349537037,11.265938069216757
1975.0,4.0,29.0,1975-04-29,0.0,0.15000808449074074,11.265938069216757
1975.0,4.0,30.0,1975-04-30,0.0,0.1400075454861111,11.265938069216757
1975.0,5.0,1.0,1975-05-01,24.052777777777777,0.13900749166666665,7.745332422586521
1975.0,5.0,2.0,1975-05-02,0.0,0.15100813842592595,7.745332422586521
1975.0,5.0,3.0,1975-05-03,0.0,0.2010108332175926,7.745332422586521
1975.0,5.0,4.0,1975-05-04,0.0,0.21301147997685185,7.745332422586521
1975.0,5.0,5.0,1975-05-05,0.0,0.1770095396990741,7.745332422586521
1975.0,5.0,6.0,1975-05-06,0.0,0.15500835405092592,7.745332422586521
1975.0,5.0,7.0,1975-05-07,0.0,0.14300770717592592,7.745332422586521
1975.0,5.0,8.0,1975-05-08,1.7180555555555554,0.13800743773148147,7.745332422586521
1975.0,5.0,9.0,1975-05-09,25.770833333333332,0.1480079767361111,7.745332422586521
1975.0,5.0,10.0,1975-05-10,0.0,0.16100867743055555,7.745332422586521
1975.0,5.0,11.0,1975-05-11,2.577083333333333,0.18500997094907407,7.745332422586521
1975.0,5.0,12.0,1975-05-12,2.577083333333333,0.19601056377314816,7.745332422586521
1975.0,5.0,13.0,1975-05-13,0.0,0.17500943194444446,7.745332422586521
1975.0,5.0,14.0,1975-05-14,1.7180555555555554,0.1670090008101852,7.745332422586521
1975.0,5.0,15.0,1975-05-15,5.154166666666666,0.166008946875,7.745332422586521
1975.0,5.0,16.0,1975-05-16,0.0,0.16900910856481483,7.745332422586521
1975.0,5.0,17.0,1975-05-17,0.0,0.166008946875,7.745332422586521
1975.0,5.0,18.0,1975-05-18,0.0,0.1670090008101852,7.745332422586521
1975.0,5.0,19.0,1975-05-19,0.0,0.16500889293981483,7.745332422586521
1975.0,5.0,20.0,1975-05-20,0.0,0.166008946875,7.745332422586521
1975.0,5.0,21.0,1975-05-21,0.0,0.15700846180555555,7.745332422586521
1975.0,5.0,22.0,1975-05-22,0.0,0.15400830011574074,7.745332422586521
1975.0,5.0,23.0,1975-05-23,0.0,0.15000808449074074,7.745332422586521
1975.0,5.0,24.0,1975-05-24,0.0,0.14700792280092592,7.745332422586521
1975.0,5.0,25.0,1975-05-25,8.590277777777779,0.14600786886574074,7.745332422586521
1975.0,5.0,26.0,1975-05-26,7.73125,0.15300824618055556,7.745332422586521
1975.0,5.0,27.0,1975-05-27,0.0,0.16000862349537037,7.745332422586521
1975.0,5.0,28.0,1975-05-28,0.0,0.16200873125,7.745332422586521
1975.0,5.0,29.0,1975-05-29,0.0,0.19001024039351852,7.745332422586521
1975.0,5.0,30.0,1975-05-30,0.0,0.17800959363425925,7.745332422586521
1975.0,5.0,31.0,1975-05-31,0.0,0.16500889293981483,7.745332422586521
1975.0,6.0,1.0,1975-06-01,0.0,0.1590085695601852,6.337090163934426
1975.0,6.0,2.0,1975-06-02,0.0,0.15500835405092592,6.337090163934426
1975.0,6.0,3.0,1975-06-03,0.0,0.1480079767361111,6.337090163934426
1975.0,6.0,4.0,1975-06-04,2.577083333333333,0.14700792280092592,6.337090163934426
1975.0,6.0,5.0,1975-06-05,0.0,0.14100759942129631,6.337090163934426
1975.0,6.0,6.0,1975-06-06,0.0,0.1400075454861111,6.337090163934426
1975.0,6.0,7.0,1975-06-07,0.0,0.13900749166666665,6.337090163934426
1975.0,6.0,8.0,1975-06-08,0.0,0.1340072221064815,6.337090163934426
1975.0,6.0,9.0,1975-06-09,0.0,0.13500727604166665,6.337090163934426
1975.0,6.0,10.0,1975-06-10,0.0,0.13700738379629632,6.337090163934426
1975.0,6.0,11.0,1975-06-11,0.0,0.13700738379629632,6.337090163934426
1975.0,6.0,12.0,1975-06-12,0.0,0.13800743773148147,6.337090163934426
1975.0,6.0,13.0,1975-06-13,3.436111111111111,0.13800743773148147,6.337090163934426
1975.0,6.0,14.0,1975-06-14,0.0,0.13800743773148147,6.337090163934426
1975.0,6.0,15.0,1975-06-15,0.0,0.1400075454861111,6.337090163934426
1975.0,6.0,16.0,1975-06-16,0.0,0.14400776111111113,6.337090163934426
1975.0,6.0,17.0,1975-06-17,0.0,0.14600786886574074,6.337090163934426
1975.0,6.0,18.0,1975-06-18,0.0,0.15200819236111113,6.337090163934426
1975.0,6.0,19.0,1975-06-19,35.22013888888888,0.15300824618055556,6.337090163934426
1975.0,6.0,20.0,1975-06-20,4.295138888888889,0.1630087851851852,6.337090163934426
1975.0,6.0,21.0,1975-06-21,56.69583333333333,0.2010108332175926,6.337090163934426
1975.0,6.0,22.0,1975-06-22,0.8590277777777777,0.9150493155092593,6.337090163934426
1975.0,6.0,23.0,1975-06-23,18.039583333333336,0.811043710300926,6.337090163934426
1975.0,6.0,24.0,1975-06-24,23.19375,0.6690360569444445,6.337090163934426
1975.0,6.0,25.0,1975-06-25,9.449305555555556,1.0750579390046295,6.337090163934426
1975.0,6.0,26.0,1975-06-26,21.475694444444443,1.1410614961805554,6.337090163934426
1975.0,6.0,27.0,1975-06-27,0.0,1.8831014872685186,6.337090163934426
1975.0,6.0,28.0,1975-06-28,0.0,1.0250552440972223,6.337090163934426
1975.0,6.0,29.0,1975-06-29,10.308333333333332,0.6030324997685186,6.337090163934426
1975.0,6.0,30.0,1975-06-30,0.0,0.44702409178240743,6.337090163934426
1975.0,7.0,1.0,1975-07-01,0.0,0.3850207502314815,7.041211293260474
1975.0,7.0,2.0,1975-07-02,1.7180555555555554,0.3260175703703704,7.041211293260474
1975.0,7.0,3.0,1975-07-03,30.06597222222222,0.2920157378472222,7.041211293260474
1975.0,7.0,4.0,1975-07-04,16.321527777777778,0.3770203190972222,7.041211293260474
1975.0,7.0,5.0,1975-07-05,0.8590277777777777,0.7120383744212962,7.041211293260474
1975.0,7.0,6.0,1975-07-06,0.0,0.6200334159722223,7.041211293260474
1975.0,7.0,7.0,1975-07-07,9.449305555555556,0.4720254392361111,7.041211293260474
1975.0,7.0,8.0,1975-07-08,0.0,0.3830206424768519,7.041211293260474
1975.0,7.0,9.0,1975-07-09,0.0,0.3190171930555556,7.041211293260474
1975.0,7.0,10.0,1975-07-10,0.0,0.33001778587962965,7.041211293260474
1975.0,7.0,11.0,1975-07-11,10.308333333333332,0.2920157378472222,7.041211293260474
1975.0,7.0,12.0,1975-07-12,1.7180555555555554,0.2780149833333333,7.041211293260474
1975.0,7.0,13.0,1975-07-13,23.19375,0.284015306712963,7.041211293260474
1975.0,7.0,14.0,1975-07-14,13.744444444444444,0.7440400991898148,7.041211293260474
1975.0,7.0,15.0,1975-07-15,2.577083333333333,1.0710577233796297,7.041211293260474
1975.0,7.0,16.0,1975-07-16,0.0,1.0010539505787037,7.041211293260474
1975.0,7.0,17.0,1975-07-17,0.0,0.6950374582175926,7.041211293260474
1975.0,7.0,18.0,1975-07-18,0.0,0.5070273256944444,7.041211293260474
1975.0,7.0,19.0,1975-07-19,2.577083333333333,0.40102161261574076,7.041211293260474
1975.0,7.0,20.0,1975-07-20,0.0,0.3450185943287037,7.041211293260474
1975.0,7.0,21.0,1975-07-21,0.0,0.3040163846064815,7.041211293260474
1975.0,7.0,22.0,1975-07-22,0.0,0.2720146599537037,7.041211293260474
1975.0,7.0,23.0,1975-07-23,0.0,0.24301309687499997,7.041211293260474
1975.0,7.0,24.0,1975-07-24,0.0,0.2250121267361111,7.041211293260474
1975.0,7.0,25.0,1975-07-25,0.0,0.20901126446759258,7.041211293260474
1975.0,7.0,26.0,1975-07-26,0.0,0.19901072546296295,7.041211293260474
1975.0,7.0,27.0,1975-07-27,0.0,0.1890101864583333,7.041211293260474
1975.0,7.0,28.0,1975-07-28,0.0,0.17400937800925925,7.041211293260474
1975.0,7.0,29.0,1975-07-29,0.0,0.16900910856481483,7.041211293260474
1975.0,7.0,30.0,1975-07-30,0.0,0.16200873125,7.041211293260474
1975.0,7.0,31.0,1975-07-31,0.0,0.15300824618055556,7.041211293260474
1975.0,8.0,1.0,1975-08-01,14.603472222222223,0.15200819236111113,9.153574681238617
1975.0,8.0,2.0,1975-08-02,0.0,0.15500835405092592,9.153574681238617
1975.0,8.0,3.0,1975-08-03,0.8590277777777777,0.1590085695601852,9.153574681238617
1975.0,8.0,4.0,1975-08-04,135.72638888888892,1.0970591247685184,9.153574681238617
1975.0,8.0,5.0,1975-08-05,0.8590277777777777,7.877424545138888,9.153574681238617
1975.0,8.0,6.0,1975-08-06,0.0,2.6351420173611113,9.153574681238617
1975.0,8.0,7.0,1975-08-07,0.0,1.3430723831018518,9.153574681238617
1975.0,8.0,8.0,1975-08-08,0.0,0.8490457583333333,9.153574681238617
1975.0,8.0,9.0,1975-08-09,0.0,0.623033577662037,9.153574681238617
1975.0,8.0,10.0,1975-08-10,0.0,0.5300285652777779,9.153574681238617
1975.0,8.0,11.0,1975-08-11,77.31249999999999,0.5190279724537038,9.153574681238617
1975.0,8.0,12.0,1975-08-12,41.23333333333333,3.3561808773148147,9.153574681238617
1975.0,8.0,13.0,1975-08-13,9.449305555555556,5.747309744212963,9.153574681238617
1975.0,8.0,14.0,1975-08-14,0.0,4.030217203703704,9.153574681238617
1975.0,8.0,15.0,1975-08-15,0.0,2.214119327546296,9.153574681238617
1975.0,8.0,16.0,1975-08-16,0.8590277777777777,1.4220766412037038,9.153574681238617
1975.0,8.0,17.0,1975-08-17,0.0,1.0450563221064815,9.153574681238617
1975.0,8.0,18.0,1975-08-18,0.0,0.8620464590277778,9.153574681238617
1975.0,8.0,19.0,1975-08-19,0.0,0.7230389673611111,9.153574681238617
1975.0,8.0,20.0,1975-08-20,0.0,0.6050326075231481,9.153574681238617
1975.0,8.0,21.0,1975-08-21,4.295138888888889,0.523028187962963,9.153574681238617
1975.0,8.0,22.0,1975-08-22,0.0,0.4660251158564815,9.153574681238617
1975.0,8.0,23.0,1975-08-23,0.8590277777777777,0.44702409178240743,9.153574681238617
1975.0,8.0,24.0,1975-08-24,6.013194444444444,0.40702193599537034,9.153574681238617
1975.0,8.0,25.0,1975-08-25,0.8590277777777777,0.3870208579861111,9.153574681238617
1975.0,8.0,26.0,1975-08-26,0.0,0.37602026516203707,9.153574681238617
1975.0,8.0,27.0,1975-08-27,77.31249999999999,0.4780257626157407,9.153574681238617
1975.0,8.0,28.0,1975-08-28,34.361111111111114,7.896425568287038,9.153574681238617
1975.0,8.0,29.0,1975-08-29,0.0,5.867316211805556,9.153574681238617
1975.0,8.0,30.0,1975-08-30,0.0,2.9691600196759262,9.153574681238617
1975.0,8.0,31.0,1975-08-31,0.0,1.6740902233796298,9.153574681238617
1975.0,9.0,1.0,1975-09-01,0.0,1.2240659699074072,12.674180327868852
1975.0,9.0,2.0,1975-09-02,0.0,0.9960536811342592,12.674180327868852
1975.0,9.0,3.0,1975-09-03,13.744444444444444,0.8720469979166667,12.674180327868852
1975.0,9.0,4.0,1975-09-04,15.4625,2.200118572916667,12.674180327868852
1975.0,9.0,5.0,1975-09-05,1.7180555555555554,4.096220761574074,12.674180327868852
1975.0,9.0,6.0,1975-09-06,4.295138888888889,1.8961021886574074,12.674180327868852
1975.0,9.0,7.0,1975-09-07,0.0,1.3810744317129628,12.674180327868852
1975.0,9.0,8.0,1975-09-08,0.0,0.9910534116898149,12.674180327868852
1975.0,9.0,9.0,1975-09-09,0.0,0.7880424706018518,12.674180327868852
1975.0,9.0,10.0,1975-09-10,0.0,0.6650358413194445,12.674180327868852
1975.0,9.0,11.0,1975-09-11,0.0,0.571030775,12.674180327868852
1975.0,9.0,12.0,1975-09-12,0.0,0.5020270561342592,12.674180327868852
1975.0,9.0,13.0,1975-09-13,0.0,0.44102376840277774,12.674180327868852
1975.0,9.0,14.0,1975-09-14,32.643055555555556,0.4260229599537037,12.674180327868852
1975.0,9.0,15.0,1975-09-15,6.013194444444444,0.6690360569444445,12.674180327868852
1975.0,9.0,16.0,1975-09-16,0.0,2.7331472997685187,12.674180327868852
1975.0,9.0,17.0,1975-09-17,33.50208333333333,2.212119219907408,12.674180327868852
1975.0,9.0,18.0,1975-09-18,0.0,4.953266950231481,12.674180327868852
1975.0,9.0,19.0,1975-09-19,43.81041666666666,6.630357335648148,12.674180327868852
1975.0,9.0,20.0,1975-09-20,0.0,6.580354640046297,12.674180327868852
1975.0,9.0,21.0,1975-09-21,0.0,2.272122453703704,12.674180327868852
1975.0,9.0,22.0,1975-09-22,29.206944444444446,1.8811013796296296,12.674180327868852
1975.0,9.0,23.0,1975-09-23,4.295138888888889,1.645088659722222,12.674180327868852
1975.0,9.0,24.0,1975-09-24,24.911805555555556,1.3890748622685185,12.674180327868852
1975.0,9.0,25.0,1975-09-25,0.8590277777777777,1.171063113425926,12.674180327868852
1975.0,9.0,26.0,1975-09-26,0.0,0.8950482376157406,12.674180327868852
1975.0,9.0,27.0,1975-09-27,0.0,0.6600355718750001,12.674180327868852
1975.0,9.0,28.0,1975-09-28,0.0,0.5400291042824074,12.674180327868852
1975.0,9.0,29.0,1975-09-29,16.321527777777778,0.48802630162037036,12.674180327868852
1975.0,9.0,30.0,1975-09-30,61.85,0.5040271640046297,12.674180327868852
1975.0,10.0,1.0,1975-10-01,17.180555555555557,11.90164142361111,17.603028233151182
1975.0,10.0,2.0,1975-10-02,25.770833333333332,8.215442761574074,17.603028233151182
1975.0,10.0,3.0,1975-10-03,10.308333333333332,8.23644389351852,17.603028233151182
1975.0,10.0,4.0,1975-10-04,0.0,3.8372068020833336,17.603028233151182
1975.0,10.0,5.0,1975-10-05,0.0,1.8651005173611113,17.603028233151182
1975.0,10.0,6.0,1975-10-06,0.0,1.2080651076388889,17.603028233151182
1975.0,10.0,7.0,1975-10-07,0.0,0.9080489381944445,17.603028233151182
1975.0,10.0,8.0,1975-10-08,0.0,0.756040745949074,17.603028233151182
1975.0,10.0,9.0,1975-10-09,11.167361111111111,0.6730362724537037,17.603028233151182
1975.0,10.0,10.0,1975-10-10,55.83680555555556,1.8070973912037036,17.603028233151182
1975.0,10.0,11.0,1975-10-11,0.0,4.255229331018518,17.603028233151182
1975.0,10.0,12.0,1975-10-12,94.49305555555554,30.134624074074072,17.603028233151182
1975.0,10.0,13.0,1975-10-13,12.026388888888889,32.097729872685186,17.603028233151182
1975.0,10.0,14.0,1975-10-14,0.0,10.878586288194445,17.603028233151182
1975.0,10.0,15.0,1975-10-15,0.0,4.324233049768519,17.603028233151182
1975.0,10.0,16.0,1975-10-16,0.0,2.259121752314815,17.603028233151182
1975.0,10.0,17.0,1975-10-17,0.0,1.5350827314814814,17.603028233151182
1975.0,10.0,18.0,1975-10-18,0.0,1.1670628969907408,17.603028233151182
1975.0,10.0,19.0,1975-10-19,0.0,0.8160439797453704,17.603028233151182
1975.0,10.0,20.0,1975-10-20,6.013194444444444,0.6640357873842594,17.603028233151182
1975.0,10.0,21.0,1975-10-21,43.81041666666666,1.5550838090277777,17.603028233151182
1975.0,10.0,22.0,1975-10-22,0.0,7.525405572916667,17.603028233151182
1975.0,10.0,23.0,1975-10-23,0.0,2.248121159722222,17.603028233151182
1975.0,10.0,24.0,1975-10-24,66.1451388888889,1.2210658078703704,17.603028233151182
1975.0,10.0,25.0,1975-10-25,54.977777777777774,15.080812766203703,17.603028233151182
1975.0,10.0,26.0,1975-10-26,5.154166666666666,18.03797212962963,17.603028233151182
1975.0,10.0,27.0,1975-10-27,5.154166666666666,10.686575940972222,17.603028233151182
1975.0,10.0,28.0,1975-10-28,0.0,4.869262423611111,17.603028233151182
1975.0,10.0,29.0,1975-10-29,0.0,2.0991131296296297,17.603028233151182
1975.0,10.0,30.0,1975-10-30,0.0,1.4290770185185184,17.603028233151182
1975.0,10.0,31.0,1975-10-31,6.872222222222222,1.0270553519675927,17.603028233151182
1975.0,11.0,1.0,1975-11-01,0.0,0.966052064236111,21.12363387978142
1975.0,11.0,2.0,1975-11-02,0.0,0.9370505012731482,21.12363387978142
1975.0,11.0,3.0,1975-11-03,0.0,0.590031799074074,21.12363387978142
1975.0,11.0,4.0,1975-11-04,18.039583333333336,0.7910426322916666,21.12363387978142
1975.0,11.0,5.0,1975-11-05,0.0,1.5510835937499998,21.12363387978142
1975.0,11.0,6.0,1975-11-06,0.0,0.5820313679398148,21.12363387978142
1975.0,11.0,7.0,1975-11-07,0.0,0.3190171930555556,21.12363387978142
1975.0,11.0,8.0,1975-11-08,0.0,0.25401368981481487,21.12363387978142
1975.0,11.0,9.0,1975-11-09,0.0,0.218011749537037,21.12363387978142
1975.0,11.0,10.0,1975-11-10,0.0,0.19601056377314816,21.12363387978142
1975.0,11.0,11.0,1975-11-11,0.0,0.17800959363425925,21.12363387978142
1975.0,11.0,12.0,1975-11-12,0.0,0.15700846180555555,21.12363387978142
1975.0,11.0,13.0,1975-11-13,0.0,0.13100706041666665,21.12363387978142
1975.0,11.0,14.0,1975-11-14,0.0,0.11300609033564814,21.12363387978142
1975.0,11.0,15.0,1975-11-15,0.0,0.10900587474537038,21.12363387978142
1975.0,11.0,16.0,1975-11-16,0.0,0.10300555136574074,21.12363387978142
1975.0,11.0,17.0,1975-11-17,17.180555555555557,0.10700576695601852,21.12363387978142
1975.0,11.0,18.0,1975-11-18,0.0,0.1670090008101852,21.12363387978142
1975.0,11.0,19.0,1975-11-19,0.0,0.14100759942129631,21.12363387978142
1975.0,11.0,20.0,1975-11-20,0.0,0.09700522798611111,21.12363387978142
1975.0,11.0,21.0,1975-11-21,0.0,0.06000323380787038,21.12363387978142
