Year,Month,Day,Date,Percipitation (m3/s),Obs Streamflow (m3/s),PET (m3/s)
1963.0,1.0,1.0,1963-01-01,7.777777777777778,0.05600250011574074,45.90163934426229
1963.0,1.0,2.0,1963-01-02,0.0,0.05900263405092593,45.90163934426229
1963.0,1.0,3.0,1963-01-03,0.0,0.044001964374999994,45.90163934426229
1963.0,1.0,4.0,1963-01-04,0.0,0.03800169650462963,45.90163934426229
1963.0,1.0,5.0,1963-01-05,0.0,0.04700209831018519,45.90163934426229
1963.0,1.0,6.0,1963-01-06,0.0,0.04900218759259259,45.90163934426229
1963.0,1.0,7.0,1963-01-07,0.0,0.03100138399305556,45.90163934426229
1963.0,1.0,8.0,1963-01-08,0.0,0.03500156256944444,45.90163934426229
1963.0,1.0,9.0,1963-01-09,0.0,0.019000848252314816,45.90163934426229
1963.0,1.0,10.0,1963-01-10,23.333333333333332,0.03100138399305556,45.90163934426229
1963.0,1.0,11.0,1963-01-11,0.0,0.02500111612268519,45.90163934426229
1963.0,1.0,12.0,1963-01-12,0.0,0.03400151792824074,45.90163934426229
1963.0,1.0,13.0,1963-01-13,0.0,0.03400151792824074,45.90163934426229
1963.0,1.0,14.0,1963-01-14,0.0,0.021000937546296297,45.90163934426229
1963.0,1.0,15.0,1963-01-15,0.0,0.02500111612268519,45.90163934426229
1963.0,1.0,16.0,1963-01-16,0.0,0.021000937546296297,45.90163934426229
1963.0,1.0,17.0,1963-01-17,31.888888888888882,0.015000669675925924,45.90163934426229
1963.0,1.0,18.0,1963-01-18,0.0,0.010000446446759258,45.90163934426229
1963.0,1.0,19.0,1963-01-19,0.0,0.019000848252314816,45.90163934426229
1963.0,1.0,20.0,1963-01-20,0.0,0.011000491087962961,45.90163934426229
1963.0,1.0,21.0,1963-01-21,0.0,0.014000625023148148,45.90163934426229
1963.0,1.0,22.0,1963-01-22,0.0,0.011000491087962961,45.90163934426229
1963.0,1.0,23.0,1963-01-23,0.0,0.007000312511574074,45.90163934426229
1963.0,1.0,24.0,1963-01-24,0.0,0.010000446446759258,45.90163934426229
1963.0,1.0,25.0,1963-01-25,0.0,0.011000491087962961,45.90163934426229
1963.0,1.0,26.0,1963-01-26,0.0,0.011000491087962961,45.90163934426229
1963.0,1.0,27.0,1963-01-27,0.0,0.009000401805555554,45.90163934426229
1963.0,1.0,28.0,1963-01-28,0.0,0.0030001339351851852,45.90163934426229
1963.0,1.0,29.0,1963-01-29,0.0,0.0010000446412037037,45.90163934426229
1963.0,1.0,30.0,1963-01-30,17.88888888888889,0.0,45.90163934426229
1963.0,1.0,31.0,1963-01-31,3.888888888888889,0.0020000892939814816,45.90163934426229
1963.0,2.0,1.0,1963-02-01,0.0,0.0010000446412037037,36.46630236794171
1963.0,2.0,2.0,1963-02-02,0.0,0.0020000892939814816,36.46630236794171
1963.0,2.0,3.0,1963-02-03,0.0,0.0010000446412037037,36.46630236794171
1963.0,2.0,4.0,1963-02-04,0.0,0.0,36.46630236794171
1963.0,2.0,5.0,1963-02-05,0.0,0.0,36.46630236794171
1963.0,2.0,6.0,1963-02-06,0.0,0.0020000892939814816,36.46630236794171
1963.0,2.0,7.0,1963-02-07,0.0,0.005000223229166666,36.46630236794171
1963.0,2.0,8.0,1963-02-08,0.0,0.005000223229166666,36.46630236794171
1963.0,2.0,9.0,1963-02-09,0.0,0.010000446446759258,36.46630236794171
1963.0,2.0,10.0,1963-02-10,0.0,0.010000446446759258,36.46630236794171
1963.0,2.0,11.0,1963-02-11,0.0,0.0020000892939814816,36.46630236794171
1963.0,2.0,12.0,1963-02-12,0.0,0.0020000892939814816,36.46630236794171
1963.0,2.0,13.0,1963-02-13,0.0,0.0030001339351851852,36.46630236794171
1963.0,2.0,14.0,1963-02-14,0.0,0.012000535740740741,36.46630236794171
1963.0,2.0,15.0,1963-02-15,0.0,0.021000937546296297,36.46630236794171
1963.0,2.0,16.0,1963-02-16,0.0,0.02600116076388889,36.46630236794171
1963.0,2.0,17.0,1963-02-17,29.555555555555557,0.029001294699074077,36.46630236794171
1963.0,2.0,18.0,1963-02-18,2.333333333333333,0.02800125005787037,36.46630236794171
1963.0,2.0,19.0,1963-02-19,0.0,0.03900174114583333,36.46630236794171
1963.0,2.0,20.0,1963-02-20,3.888888888888889,0.03700165186342593,36.46630236794171
1963.0,2.0,21.0,1963-02-21,0.0,0.022000982187499997,36.46630236794171
1963.0,2.0,22.0,1963-02-22,0.0,0.02800125005787037,36.46630236794171
1963.0,2.0,23.0,1963-02-23,0.0,0.029001294699074077,36.46630236794171
1963.0,2.0,24.0,1963-02-24,0.0,0.03400151792824074,36.46630236794171
1963.0,2.0,25.0,1963-02-25,0.0,0.03700165186342593,36.46630236794171
1963.0,2.0,26.0,1963-02-26,0.0,0.03800169650462963,36.46630236794171
1963.0,2.0,27.0,1963-02-27,0.0,0.03500156256944444,36.46630236794171
1963.0,2.0,28.0,1963-02-28,0.0,0.023001026828703704,36.46630236794171
1963.0,3.0,1.0,1963-03-01,0.0,0.020000892893518515,29.32604735883425
1963.0,3.0,2.0,1963-03-02,0.0,0.019000848252314816,29.32604735883425
1963.0,3.0,3.0,1963-03-03,0.0,0.020000892893518515,29.32604735883425
1963.0,3.0,4.0,1963-03-04,0.0,0.01800080361111111,29.32604735883425
1963.0,3.0,5.0,1963-03-05,0.0,0.015000669675925924,29.32604735883425
1963.0,3.0,6.0,1963-03-06,0.0,0.01800080361111111,29.32604735883425
1963.0,3.0,7.0,1963-03-07,0.0,0.013000580381944444,29.32604735883425
1963.0,3.0,8.0,1963-03-08,0.0,0.015000669675925924,29.32604735883425
1963.0,3.0,9.0,1963-03-09,0.0,0.019000848252314816,29.32604735883425
1963.0,3.0,10.0,1963-03-10,0.0,0.015000669675925924,29.32604735883425
1963.0,3.0,11.0,1963-03-11,0.0,0.012000535740740741,29.32604735883425
1963.0,3.0,12.0,1963-03-12,11.666666666666666,0.012000535740740741,29.32604735883425
1963.0,3.0,13.0,1963-03-13,0.0,0.014000625023148148,29.32604735883425
1963.0,3.0,14.0,1963-03-14,0.0,0.0060002678703703705,29.32604735883425
1963.0,3.0,15.0,1963-03-15,0.0,0.012000535740740741,29.32604735883425
1963.0,3.0,16.0,1963-03-16,79.33333333333333,0.01800080361111111,29.32604735883425
1963.0,3.0,17.0,1963-03-17,0.0,0.014000625023148148,29.32604735883425
1963.0,3.0,18.0,1963-03-18,0.0,0.007000312511574074,29.32604735883425
1963.0,3.0,19.0,1963-03-19,0.0,0.008000357164351853,29.32604735883425
1963.0,3.0,20.0,1963-03-20,0.0,0.014000625023148148,29.32604735883425
1963.0,3.0,21.0,1963-03-21,0.0,0.023001026828703704,29.32604735883425
1963.0,3.0,22.0,1963-03-22,0.0,0.03000133934027778,29.32604735883425
1963.0,3.0,23.0,1963-03-23,0.0,0.03200142863425926,29.32604735883425
1963.0,3.0,24.0,1963-03-24,0.0,0.043001919733796294,29.32604735883425
1963.0,3.0,25.0,1963-03-25,0.0,0.03700165186342593,29.32604735883425
1963.0,3.0,26.0,1963-03-26,0.0,0.040001785798611106,29.32604735883425
1963.0,3.0,27.0,1963-03-27,0.0,0.040001785798611106,29.32604735883425
1963.0,3.0,28.0,1963-03-28,0.0,0.02800125005787037,29.32604735883425
1963.0,3.0,29.0,1963-03-29,0.0,0.055002455462962965,29.32604735883425
1963.0,3.0,30.0,1963-03-30,0.0,0.06500290190972223,29.32604735883425
1963.0,3.0,31.0,1963-03-31,0.0,0.07900352694444444,29.32604735883425
1963.0,4.0,1.0,1963-04-01,0.0,0.08600383945601851,19.12568306010929
1963.0,4.0,2.0,1963-04-02,0.0,0.0930041519675926,19.12568306010929
1963.0,4.0,3.0,1963-04-03,0.0,0.05100227688657407,19.12568306010929
1963.0,4.0,4.0,1963-04-04,0.0,0.022000982187499997,19.12568306010929
1963.0,4.0,5.0,1963-04-05,0.0,0.03100138399305556,19.12568306010929
1963.0,4.0,6.0,1963-04-06,0.0,0.03300147327546297,19.12568306010929
1963.0,4.0,7.0,1963-04-07,0.0,0.03700165186342593,19.12568306010929
1963.0,4.0,8.0,1963-04-08,0.0,0.03000133934027778,19.12568306010929
1963.0,4.0,9.0,1963-04-09,0.0,0.029001294699074077,19.12568306010929
1963.0,4.0,10.0,1963-04-10,7.777777777777778,0.024001071481481482,19.12568306010929
1963.0,4.0,11.0,1963-04-11,53.66666666666668,0.020000892893518515,19.12568306010929
1963.0,4.0,12.0,1963-04-12,0.0,0.03200142863425926,19.12568306010929
1963.0,4.0,13.0,1963-04-13,0.0,0.027001205416666667,19.12568306010929
1963.0,4.0,14.0,1963-04-14,0.0,0.017000758958333334,19.12568306010929
1963.0,4.0,15.0,1963-04-15,0.0,0.010000446446759258,19.12568306010929
1963.0,4.0,16.0,1963-04-16,0.0,0.012000535740740741,19.12568306010929
1963.0,4.0,17.0,1963-04-17,0.0,0.013000580381944444,19.12568306010929
1963.0,4.0,18.0,1963-04-18,0.0,0.04600205365740741,19.12568306010929
1963.0,4.0,19.0,1963-04-19,29.555555555555557,0.058002589398148154,19.12568306010929
1963.0,4.0,20.0,1963-04-20,0.0,0.05300236618055555,19.12568306010929
1963.0,4.0,21.0,1963-04-21,0.0,0.04800214295138889,19.12568306010929
1963.0,4.0,22.0,1963-04-22,55.22222222222222,0.05700254475694444,19.12568306010929
1963.0,4.0,23.0,1963-04-23,66.88888888888889,0.060002678692129635,19.12568306010929
1963.0,4.0,24.0,1963-04-24,15.555555555555555,0.05100227688657407,19.12568306010929
1963.0,4.0,25.0,1963-04-25,10.11111111111111,0.04900218759259259,19.12568306010929
1963.0,4.0,26.0,1963-04-26,0.0,0.04700209831018519,19.12568306010929
1963.0,4.0,27.0,1963-04-27,0.0,0.043001919733796294,19.12568306010929
1963.0,4.0,28.0,1963-04-28,0.0,0.04500200901620371,19.12568306010929
1963.0,4.0,29.0,1963-04-29,0.0,0.04800214295138889,19.12568306010929
1963.0,4.0,30.0,1963-04-30,0.0,0.04500200901620371,19.12568306010929
1963.0,5.0,1.0,1963-05-01,21.77777777777778,0.03700165186342593,14.790528233151184
1963.0,5.0,2.0,1963-05-02,63.0,0.04100183043981482,14.790528233151184
1963.0,5.0,3.0,1963-05-03,0.0,0.03800169650462963,14.790528233151184
1963.0,5.0,4.0,1963-05-04,0.0,0.04500200901620371,14.790528233151184
1963.0,5.0,5.0,1963-05-05,2.333333333333333,0.05000223224537038,14.790528233151184
1963.0,5.0,6.0,1963-05-06,33.44444444444444,0.05200232152777778,14.790528233151184
1963.0,5.0,7.0,1963-05-07,29.555555555555557,0.04900218759259259,14.790528233151184
1963.0,5.0,8.0,1963-05-08,23.333333333333332,0.05300236618055555,14.790528233151184
1963.0,5.0,9.0,1963-05-09,31.888888888888882,0.058002589398148154,14.790528233151184
1963.0,5.0,10.0,1963-05-10,57.55555555555556,0.06500290190972223,14.790528233151184
1963.0,5.0,11.0,1963-05-11,61.44444444444446,0.06300281262731482,14.790528233151184
1963.0,5.0,12.0,1963-05-12,2.333333333333333,0.07000312513888889,14.790528233151184
1963.0,5.0,13.0,1963-05-13,0.0,0.07100316978009259,14.790528233151184
1963.0,5.0,14.0,1963-05-14,0.0,0.058002589398148154,14.790528233151184
1963.0,5.0,15.0,1963-05-15,0.0,0.05100227688657407,14.790528233151184
1963.0,5.0,16.0,1963-05-16,0.0,0.06500290190972223,14.790528233151184
1963.0,5.0,17.0,1963-05-17,0.0,0.0670029912037037,14.790528233151184
1963.0,5.0,18.0,1963-05-18,142.33333333333334,0.07300325907407408,14.790528233151184
1963.0,5.0,19.0,1963-05-19,11.666666666666666,0.08000357158564814,14.790528233151184
1963.0,5.0,20.0,1963-05-20,2.333333333333333,0.08000357158564814,14.790528233151184
1963.0,5.0,21.0,1963-05-21,0.0,0.07000312513888889,14.790528233151184
1963.0,5.0,22.0,1963-05-22,10.11111111111111,0.07000312513888889,14.790528233151184
1963.0,5.0,23.0,1963-05-23,53.66666666666668,0.1120050002199074,14.790528233151184
1963.0,5.0,24.0,1963-05-24,108.88888888888889,0.10400464306712963,14.790528233151184
1963.0,5.0,25.0,1963-05-25,174.22222222222223,0.1270056699074074,14.790528233151184
1963.0,5.0,26.0,1963-05-26,43.55555555555556,0.16000714317129627,14.790528233151184
1963.0,5.0,27.0,1963-05-27,2.333333333333333,0.15500691990740742,14.790528233151184
1963.0,5.0,28.0,1963-05-28,61.44444444444446,0.1390062056712963,14.790528233151184
1963.0,5.0,29.0,1963-05-29,59.111111111111114,0.12800571458333335,14.790528233151184
1963.0,5.0,30.0,1963-05-30,69.22222222222223,0.14700656284722224,14.790528233151184
1963.0,5.0,31.0,1963-05-31,161.77777777777777,0.23401044687500003,14.790528233151184
1963.0,6.0,1.0,1963-06-01,29.555555555555557,0.33001473275462967,11.475409836065573
1963.0,6.0,2.0,1963-06-02,39.666666666666664,0.34601544710648147,11.475409836065573
1963.0,6.0,3.0,1963-06-03,11.666666666666666,0.3690164739583333,11.475409836065573
1963.0,6.0,4.0,1963-06-04,2.333333333333333,0.3610161167824074,11.475409836065573
1963.0,6.0,5.0,1963-06-05,178.11111111111111,0.3000133934027778,11.475409836065573
1963.0,6.0,6.0,1963-06-06,114.33333333333333,0.3690164739583333,11.475409836065573
1963.0,6.0,7.0,1963-06-07,17.88888888888889,0.46802089375000006,11.475409836065573
1963.0,6.0,8.0,1963-06-08,51.333333333333336,0.45702040266203703,11.475409836065573
1963.0,6.0,9.0,1963-06-09,215.44444444444446,0.5940265190972223,11.475409836065573
1963.0,6.0,10.0,1963-06-10,29.555555555555557,0.7030313853009259,11.475409836065573
1963.0,6.0,11.0,1963-06-11,59.111111111111114,2.715121210648148,11.475409836065573
1963.0,6.0,12.0,1963-06-12,43.55555555555556,3.9291754097222222,11.475409836065573
1963.0,6.0,13.0,1963-06-13,213.11111111111111,3.4461538460648145,11.475409836065573
1963.0,6.0,14.0,1963-06-14,14.0,4.700209831018518,11.475409836065573
1963.0,6.0,15.0,1963-06-15,7.777777777777778,5.733255949074074,11.475409836065573
1963.0,6.0,16.0,1963-06-16,0.0,5.152230010416667,11.475409836065573
1963.0,6.0,17.0,1963-06-17,0.0,3.436153399305556,11.475409836065573
1963.0,6.0,18.0,1963-06-18,0.0,2.2641010763888887,11.475409836065573
1963.0,6.0,19.0,1963-06-19,0.0,1.5040671458333335,11.475409836065573
1963.0,6.0,20.0,1963-06-20,0.0,1.0720478592592593,11.475409836065573
1963.0,6.0,21.0,1963-06-21,0.0,0.8610384392361112,11.475409836065573
1963.0,6.0,22.0,1963-06-22,90.99999999999999,0.8330371891203703,11.475409836065573
1963.0,6.0,23.0,1963-06-23,6.222222222222222,0.890039733912037,11.475409836065573
1963.0,6.0,24.0,1963-06-24,19.444444444444443,1.112049645023148,11.475409836065573
1963.0,6.0,25.0,1963-06-25,108.88888888888889,3.1571409432870365,11.475409836065573
1963.0,6.0,26.0,1963-06-26,10.11111111111111,4.076181972222223,11.475409836065573
1963.0,6.0,27.0,1963-06-27,59.111111111111114,5.350238849537037,11.475409836065573
1963.0,6.0,28.0,1963-06-28,19.444444444444443,4.728211081018519,11.475409836065573
1963.0,6.0,29.0,1963-06-29,207.66666666666666,6.96431090625,11.475409836065573
1963.0,6.0,30.0,1963-06-30,2.333333333333333,11.610518321759258,11.475409836065573
1963.0,7.0,1.0,1963-07-01,0.0,9.02740300925926,12.750455373406195
1963.0,7.0,2.0,1963-07-02,237.22222222222223,5.324237688657408,12.750455373406195
1963.0,7.0,3.0,1963-07-03,6.222222222222222,12.251546944444446,12.750455373406195
1963.0,7.0,4.0,1963-07-04,10.11111111111111,7.6263404618055555,12.750455373406195
1963.0,7.0,5.0,1963-07-05,118.22222222222223,6.56629313773148,12.750455373406195
1963.0,7.0,6.0,1963-07-06,10.11111111111111,9.753435421296295,12.750455373406195
1963.0,7.0,7.0,1963-07-07,2.333333333333333,8.370373677083332,12.750455373406195
1963.0,7.0,8.0,1963-07-08,0.0,4.964221616898149,12.750455373406195
1963.0,7.0,9.0,1963-07-09,33.44444444444444,4.073181837962963,12.750455373406195
1963.0,7.0,10.0,1963-07-10,136.11111111111114,5.948265547453704,12.750455373406195
1963.0,7.0,11.0,1963-07-11,23.333333333333332,10.009446850694443,12.750455373406195
1963.0,7.0,12.0,1963-07-12,49.77777777777778,11.288503951388888,12.750455373406195
1963.0,7.0,13.0,1963-07-13,130.66666666666669,8.347372650462964,12.750455373406195
1963.0,7.0,14.0,1963-07-14,220.88888888888889,12.017536493055555,12.750455373406195
1963.0,7.0,15.0,1963-07-15,7.777777777777778,27.996249837962964,12.750455373406195
1963.0,7.0,16.0,1963-07-16,10.11111111111111,20.28790570601852,12.750455373406195
1963.0,7.0,17.0,1963-07-17,189.77777777777774,12.55056028935185,12.750455373406195
1963.0,7.0,18.0,1963-07-18,138.44444444444446,17.55678378472222,12.750455373406195
1963.0,7.0,19.0,1963-07-19,35.77777777777778,33.016473946759255,12.750455373406195
1963.0,7.0,20.0,1963-07-20,15.555555555555555,22.563007280092595,12.750455373406195
1963.0,7.0,21.0,1963-07-21,0.0,13.688611099537038,12.750455373406195
1963.0,7.0,22.0,1963-07-22,0.0,9.605428813657408,12.750455373406195
1963.0,7.0,23.0,1963-07-23,0.0,7.511335327546297,12.750455373406195
1963.0,7.0,24.0,1963-07-24,3.888888888888889,5.920264297453704,12.750455373406195
1963.0,7.0,25.0,1963-07-25,19.444444444444443,5.283235858796296,12.750455373406195
1963.0,7.0,26.0,1963-07-26,79.33333333333333,5.099227643518518,12.750455373406195
1963.0,7.0,27.0,1963-07-27,3.888888888888889,5.746256528935185,12.750455373406195
1963.0,7.0,28.0,1963-07-28,0.0,6.348283405092593,12.750455373406195
1963.0,7.0,29.0,1963-07-29,19.444444444444443,5.678253493055555,12.750455373406195
1963.0,7.0,30.0,1963-07-30,0.0,4.777213268518519,12.750455373406195
1963.0,7.0,31.0,1963-07-31,0.0,4.146185097222222,12.750455373406195
1963.0,8.0,1.0,1963-08-01,0.0,3.9561766145833337,15.300546448087431
1963.0,8.0,2.0,1963-08-02,0.0,3.5191571053240738,15.300546448087431
1963.0,8.0,3.0,1963-08-03,138.44444444444446,3.5351578194444446,15.300546448087431
1963.0,8.0,4.0,1963-08-04,3.888888888888889,5.487244966435185,15.300546448087431
1963.0,8.0,5.0,1963-08-05,15.555555555555555,5.0832269293981485,15.300546448087431
1963.0,8.0,6.0,1963-08-06,10.11111111111111,4.668208401620371,15.300546448087431
1963.0,8.0,7.0,1963-08-07,0.0,4.719210679398148,15.300546448087431
1963.0,8.0,8.0,1963-08-08,0.0,3.9511763923611114,15.300546448087431
1963.0,8.0,9.0,1963-08-09,0.0,3.2731461226851852,15.300546448087431
1963.0,8.0,10.0,1963-08-10,0.0,2.7811241574074073,15.300546448087431
1963.0,8.0,11.0,1963-08-11,152.44444444444446,2.979132996527778,15.300546448087431
1963.0,8.0,12.0,1963-08-12,23.333333333333332,3.6141613460648148,15.300546448087431
1963.0,8.0,13.0,1963-08-13,108.88888888888889,5.273235412037037,15.300546448087431
1963.0,8.0,14.0,1963-08-14,73.11111111111111,7.103317112268519,15.300546448087431
1963.0,8.0,15.0,1963-08-15,0.0,9.653430957175924,15.300546448087431
1963.0,8.0,16.0,1963-08-16,39.666666666666664,8.57538282986111,15.300546448087431
1963.0,8.0,17.0,1963-08-17,98.77777777777777,8.015357828703703,15.300546448087431
1963.0,8.0,18.0,1963-08-18,251.22222222222217,13.384597523148148,15.300546448087431
1963.0,8.0,19.0,1963-08-19,39.666666666666664,22.24399303240741,15.300546448087431
1963.0,8.0,20.0,1963-08-20,213.11111111111111,46.5510781712963,15.300546448087431
1963.0,8.0,21.0,1963-08-21,31.888888888888882,41.94287245370371,15.300546448087431
1963.0,8.0,22.0,1963-08-22,220.88888888888889,46.960096435185186,15.300546448087431
1963.0,8.0,23.0,1963-08-23,130.66666666666669,98.21138443287037,15.300546448087431
1963.0,8.0,24.0,1963-08-24,39.666666666666664,112.38601723379631,15.300546448087431
1963.0,8.0,25.0,1963-08-25,0.0,61.084727002314814,15.300546448087431
1963.0,8.0,26.0,1963-08-26,49.77777777777778,22.796017673611114,15.300546448087431
1963.0,8.0,27.0,1963-08-27,0.0,16.22772445601852,15.300546448087431
1963.0,8.0,28.0,1963-08-28,0.0,13.26059199074074,15.300546448087431
1963.0,8.0,29.0,1963-08-29,10.11111111111111,9.826438680555556,15.300546448087431
1963.0,8.0,30.0,1963-08-30,0.0,7.963355506944445,15.300546448087431
1963.0,8.0,31.0,1963-08-31,6.222222222222222,7.081316129629629,15.300546448087431
1963.0,9.0,1.0,1963-09-01,7.777777777777778,6.561292914351852,22.950819672131146
1963.0,9.0,2.0,1963-09-02,106.55555555555556,6.673297915509259,22.950819672131146
1963.0,9.0,3.0,1963-09-03,19.444444444444443,9.609428991898149,22.950819672131146
1963.0,9.0,4.0,1963-09-04,6.222222222222222,15.277682037037037,22.950819672131146
1963.0,9.0,5.0,1963-09-05,70.77777777777777,11.768525381944444,22.950819672131146
1963.0,9.0,6.0,1963-09-06,0.0,8.451377293981482,22.950819672131146
1963.0,9.0,7.0,1963-09-07,0.0,7.520335729166668,22.950819672131146
1963.0,9.0,8.0,1963-09-08,0.0,6.486289565972222,22.950819672131146
1963.0,9.0,9.0,1963-09-09,7.777777777777778,5.309237019675925,22.950819672131146
1963.0,9.0,10.0,1963-09-10,69.22222222222223,4.940220545138889,22.950819672131146
1963.0,9.0,11.0,1963-09-11,7.777777777777778,5.348238760416666,22.950819672131146
1963.0,9.0,12.0,1963-09-12,6.222222222222222,5.698254386574074,22.950819672131146
1963.0,9.0,13.0,1963-09-13,3.888888888888889,5.246234207175926,22.950819672131146
1963.0,9.0,14.0,1963-09-14,19.444444444444443,4.536202509259259,22.950819672131146
1963.0,9.0,15.0,1963-09-15,63.0,4.428197687500001,22.950819672131146
1963.0,9.0,16.0,1963-09-16,0.0,6.053270234953703,22.950819672131146
1963.0,9.0,17.0,1963-09-17,161.77777777777777,8.301370597222222,22.950819672131146
1963.0,9.0,18.0,1963-09-18,70.77777777777777,9.639430332175925,22.950819672131146
1963.0,9.0,19.0,1963-09-19,108.88888888888889,20.52391625,22.950819672131146
1963.0,9.0,20.0,1963-09-20,0.0,30.79237466435185,22.950819672131146
1963.0,9.0,21.0,1963-09-21,0.0,20.1669003125,22.950819672131146
1963.0,9.0,22.0,1963-09-22,0.0,9.951444260416666,22.950819672131146
1963.0,9.0,23.0,1963-09-23,0.0,6.389285236111111,22.950819672131146
1963.0,9.0,24.0,1963-09-24,0.0,4.986222599537037,22.950819672131146
1963.0,9.0,25.0,1963-09-25,0.0,4.347194070601852,22.950819672131146
1963.0,9.0,26.0,1963-09-26,0.0,3.822170633101852,22.950819672131146
1963.0,9.0,27.0,1963-09-27,0.0,3.2181436666666667,22.950819672131146
1963.0,9.0,28.0,1963-09-28,0.0,2.788124469907407,22.950819672131146
1963.0,9.0,29.0,1963-09-29,0.0,2.430108487268518,22.950819672131146
1963.0,9.0,30.0,1963-09-30,0.0,2.1550962094907407,22.950819672131146
1963.0,10.0,1.0,1963-10-01,0.0,1.9270860300925927,33.661202185792355
1963.0,10.0,2.0,1963-10-02,0.0,1.6910754942129629,33.661202185792355
1963.0,10.0,3.0,1963-10-03,0.0,1.543068886574074,33.661202185792355
1963.0,10.0,4.0,1963-10-04,0.0,1.3120585740740742,33.661202185792355
1963.0,10.0,5.0,1963-10-05,69.22222222222223,1.1170498682870371,33.661202185792355
1963.0,10.0,6.0,1963-10-06,0.0,1.379061564814815,33.661202185792355
1963.0,10.0,7.0,1963-10-07,0.0,1.846082414351852,33.661202185792355
1963.0,10.0,8.0,1963-10-08,0.0,1.9400866111111112,33.661202185792355
1963.0,10.0,9.0,1963-10-09,0.0,1.4920666099537037,33.661202185792355
1963.0,10.0,10.0,1963-10-10,88.66666666666667,1.2090539756944445,33.661202185792355
1963.0,10.0,11.0,1963-10-11,0.0,1.0830483503472221,33.661202185792355
1963.0,10.0,12.0,1963-10-12,0.0,0.9740434840277779,33.661202185792355
1963.0,10.0,13.0,1963-10-13,0.0,0.9450421893518519,33.661202185792355
1963.0,10.0,14.0,1963-10-14,0.0,0.8520380373842592,33.661202185792355
1963.0,10.0,15.0,1963-10-15,0.0,0.7130318318287037,33.661202185792355
1963.0,10.0,16.0,1963-10-16,11.666666666666666,0.6070270994212963,33.661202185792355
1963.0,10.0,17.0,1963-10-17,114.33333333333333,0.6230278137731481,33.661202185792355
1963.0,10.0,18.0,1963-10-18,0.0,0.6510290637731482,33.661202185792355
1963.0,10.0,19.0,1963-10-19,29.555555555555557,0.7600339300925925,33.661202185792355
1963.0,10.0,20.0,1963-10-20,0.0,1.4030626365740742,33.661202185792355
1963.0,10.0,21.0,1963-10-21,0.0,1.4550649583333333,33.661202185792355
1963.0,10.0,22.0,1963-10-22,0.0,0.9240412518518519,33.661202185792355
1963.0,10.0,23.0,1963-10-23,0.0,0.6860306263888888,33.661202185792355
1963.0,10.0,24.0,1963-10-24,0.0,0.6170275458333333,33.661202185792355
