Year,Month,Day,Date,Percipitation (m3/s),Obs Streamflow (m3/s),PET (m3/s)
1984.0,1.0,1.0,1984-01-01,94.49305555555554,0.47100000000000003,21.827755009107467
1984.0,1.0,2.0,1984-01-02,83.32569444444444,0.6890000000000001,21.827755009107467
1984.0,1.0,3.0,1984-01-03,12.885416666666666,0.694,21.827755009107467
1984.0,1.0,4.0,1984-01-04,0.0,0.553,21.827755009107467
1984.0,1.0,5.0,1984-01-05,0.0,0.49299999999999994,21.827755009107467
1984.0,1.0,6.0,1984-01-06,0.0,0.43999999999999995,21.827755009107467
1984.0,1.0,7.0,1984-01-07,2.577083333333333,0.437,21.827755009107467
1984.0,1.0,8.0,1984-01-08,0.0,0.43600000000000005,21.827755009107467
1984.0,1.0,9.0,1984-01-09,0.0,0.4079999999999999,21.827755009107467
1984.0,1.0,10.0,1984-01-10,0.0,0.392,21.827755009107467
1984.0,1.0,11.0,1984-01-11,0.0,0.38,21.827755009107467
1984.0,1.0,12.0,1984-01-12,0.0,0.363,21.827755009107467
1984.0,1.0,13.0,1984-01-13,0.0,0.345,21.827755009107467
1984.0,1.0,14.0,1984-01-14,27.488888888888887,0.357,21.827755009107467
1984.0,1.0,15.0,1984-01-15,0.0,0.357,21.827755009107467
1984.0,1.0,16.0,1984-01-16,210.46180555555554,0.505,21.827755009107467
1984.0,1.0,17.0,1984-01-17,4.295138888888889,0.6090000000000001,21.827755009107467
1984.0,1.0,18.0,1984-01-18,6.013194444444444,0.457,21.827755009107467
1984.0,1.0,19.0,1984-01-19,0.0,0.422,21.827755009107467
1984.0,1.0,20.0,1984-01-20,0.0,0.38399999999999995,21.827755009107467
1984.0,1.0,21.0,1984-01-21,0.0,0.35100000000000003,21.827755009107467
1984.0,1.0,22.0,1984-01-22,1.7180555555555554,0.328,21.827755009107467
1984.0,1.0,23.0,1984-01-23,0.0,0.32899999999999996,21.827755009107467
1984.0,1.0,24.0,1984-01-24,16.321527777777778,0.316,21.827755009107467
1984.0,1.0,25.0,1984-01-25,33.50208333333333,0.319,21.827755009107467
1984.0,1.0,26.0,1984-01-26,93.63402777777777,0.475,21.827755009107467
1984.0,1.0,27.0,1984-01-27,6.442708333333333,0.48500000000000004,21.827755009107467
1984.0,1.0,28.0,1984-01-28,0.0,0.41200000000000003,21.827755009107467
1984.0,1.0,29.0,1984-01-29,0.0,0.363,21.827755009107467
1984.0,1.0,30.0,1984-01-30,38.65624999999999,0.345,21.827755009107467
1984.0,1.0,31.0,1984-01-31,8.590277777777779,0.363,21.827755009107467
1984.0,2.0,1.0,1984-02-01,0.0,0.354,16.898907103825135
1984.0,2.0,2.0,1984-02-02,0.0,0.328,16.898907103825135
1984.0,2.0,3.0,1984-02-03,0.0,0.29,16.898907103825135
1984.0,2.0,4.0,1984-02-04,0.0,0.271,16.898907103825135
1984.0,2.0,5.0,1984-02-05,0.0,0.248,16.898907103825135
1984.0,2.0,6.0,1984-02-06,0.0,0.24000000000000002,16.898907103825135
1984.0,2.0,7.0,1984-02-07,35.22013888888888,0.236,16.898907103825135
1984.0,2.0,8.0,1984-02-08,12.885416666666666,0.23199999999999998,16.898907103825135
1984.0,2.0,9.0,1984-02-09,0.0,0.228,16.898907103825135
1984.0,2.0,10.0,1984-02-10,0.0,0.224,16.898907103825135
1984.0,2.0,11.0,1984-02-11,0.0,0.219,16.898907103825135
1984.0,2.0,12.0,1984-02-12,0.0,0.193,16.898907103825135
1984.0,2.0,13.0,1984-02-13,0.0,0.167,16.898907103825135
1984.0,2.0,14.0,1984-02-14,0.0,0.155,16.898907103825135
1984.0,2.0,15.0,1984-02-15,0.0,0.139,16.898907103825135
1984.0,2.0,16.0,1984-02-16,0.0,0.13699999999999998,16.898907103825135
1984.0,2.0,17.0,1984-02-17,0.0,0.13299999999999998,16.898907103825135
1984.0,2.0,18.0,1984-02-18,0.0,0.135,16.898907103825135
1984.0,2.0,19.0,1984-02-19,0.0,0.15000000000000002,16.898907103825135
1984.0,2.0,20.0,1984-02-20,0.0,0.139,16.898907103825135
1984.0,2.0,21.0,1984-02-21,64.42708333333333,0.14300000000000002,16.898907103825135
1984.0,2.0,22.0,1984-02-22,0.0,0.203,16.898907103825135
1984.0,2.0,23.0,1984-02-23,0.0,0.154,16.898907103825135
1984.0,2.0,24.0,1984-02-24,0.0,0.134,16.898907103825135
