Year,Month,Day,Date,Percipitation (m3/s),Obs Streamflow (m3/s),PET (m3/s)
1978.0,1.0,1.0,1978-01-01,0.0,0.001,7.544968123861567
1978.0,1.0,2.0,1978-01-02,0.0,0.001,7.544968123861567
1978.0,1.0,3.0,1978-01-03,1.3946759259259258,0.001,7.544968123861567
1978.0,1.0,4.0,1978-01-04,0.0,0.001,7.544968123861567
1978.0,1.0,5.0,1978-01-05,0.0,0.001,7.544968123861567
1978.0,1.0,6.0,1978-01-06,0.0,0.001,7.544968123861567
1978.0,1.0,7.0,1978-01-07,0.0,0.001,7.544968123861567
1978.0,1.0,8.0,1978-01-08,0.0,0.001,7.544968123861567
1978.0,1.0,9.0,1978-01-09,0.0,0.001,7.544968123861567
1978.0,1.0,10.0,1978-01-10,0.0,0.001,7.544968123861567
1978.0,1.0,11.0,1978-01-11,0.0,0.001,7.544968123861567
1978.0,1.0,12.0,1978-01-12,0.0,0.001,7.544968123861567
1978.0,1.0,13.0,1978-01-13,0.0,0.001,7.544968123861567
1978.0,1.0,14.0,1978-01-14,0.0,0.001,7.544968123861567
1978.0,1.0,15.0,1978-01-15,0.0,0.001,7.544968123861567
1978.0,1.0,16.0,1978-01-16,0.0,0.001,7.544968123861567
1978.0,1.0,17.0,1978-01-17,0.0,0.001,7.544968123861567
1978.0,1.0,18.0,1978-01-18,0.0,0.001,7.544968123861567
1978.0,1.0,19.0,1978-01-19,0.0,0.001,7.544968123861567
1978.0,1.0,20.0,1978-01-20,0.0,0.001,7.544968123861567
1978.0,1.0,21.0,1978-01-21,0.0,0.001,7.544968123861567
1978.0,1.0,22.0,1978-01-22,0.0,0.001,7.544968123861567
1978.0,1.0,23.0,1978-01-23,16.17824074074074,0.001,7.544968123861567
1978.0,1.0,24.0,1978-01-24,12.831018518518519,0.001,7.544968123861567
1978.0,1.0,25.0,1978-01-25,0.0,0.001,7.544968123861567
1978.0,1.0,26.0,1978-01-26,0.0,0.001,7.544968123861567
