Year,Month,Day,Date,Percipitation (m3/s),Obs Streamflow (m3/s),PET (m3/s)
1966.0,1.0,1.0,1966-01-01,0.0,0.0,15.739602307225256
1966.0,1.0,2.0,1966-01-02,9.095833333333333,0.0,15.739602307225256
1966.0,1.0,3.0,1966-01-03,0.0,0.0,15.739602307225256
1966.0,1.0,4.0,1966-01-04,0.0,0.0,15.739602307225256
1966.0,1.0,5.0,1966-01-05,0.0,0.0,15.739602307225256
1966.0,1.0,6.0,1966-01-06,0.0,0.0,15.739602307225256
1966.0,1.0,7.0,1966-01-07,0.0,0.0,15.739602307225256
1966.0,1.0,8.0,1966-01-08,14.149074074074074,0.0,15.739602307225256
1966.0,1.0,9.0,1966-01-09,17.93900462962963,0.0,15.739602307225256
1966.0,1.0,10.0,1966-01-10,0.0,0.0,15.739602307225256
1966.0,1.0,11.0,1966-01-11,0.0,0.0,15.739602307225256
1966.0,1.0,12.0,1966-01-12,0.0,0.0,15.739602307225256
1966.0,1.0,13.0,1966-01-13,0.0,0.0,15.739602307225256
1966.0,1.0,14.0,1966-01-14,0.0,0.0,15.739602307225256
1966.0,1.0,15.0,1966-01-15,0.0,0.0,15.739602307225256
1966.0,1.0,16.0,1966-01-16,0.0,0.0,15.739602307225256
1966.0,1.0,17.0,1966-01-17,0.0,0.0,15.739602307225256
1966.0,1.0,18.0,1966-01-18,0.0,0.0,15.739602307225256
1966.0,1.0,19.0,1966-01-19,4.547916666666667,0.0,15.739602307225256
1966.0,1.0,20.0,1966-01-20,0.0,0.0,15.739602307225256
1966.0,1.0,21.0,1966-01-21,0.0,0.0,15.739602307225256
1966.0,1.0,22.0,1966-01-22,2.0212962962962964,0.0,15.739602307225256
1966.0,1.0,23.0,1966-01-23,83.37847222222223,0.0,15.739602307225256
1966.0,1.0,24.0,1966-01-24,32.0880787037037,0.0,15.739602307225256
1966.0,1.0,25.0,1966-01-25,13.391087962962963,0.0,15.739602307225256
1966.0,1.0,26.0,1966-01-26,41.689236111111114,0.0,15.739602307225256
1966.0,1.0,27.0,1966-01-27,7.579861111111111,0.0,15.739602307225256
1966.0,1.0,28.0,1966-01-28,1.2633101851851851,0.0,15.739602307225256
1966.0,1.0,29.0,1966-01-29,0.0,0.0,15.739602307225256
1966.0,1.0,30.0,1966-01-30,0.0,0.0,15.739602307225256
1966.0,1.0,31.0,1966-01-31,13.391087962962963,0.0,15.739602307225256
1966.0,2.0,1.0,1966-02-01,0.0,0.0,12.426001821493625
1966.0,2.0,2.0,1966-02-02,0.0,0.0,12.426001821493625
1966.0,2.0,3.0,1966-02-03,0.0,0.0,12.426001821493625
1966.0,2.0,4.0,1966-02-04,0.0,0.0,12.426001821493625
1966.0,2.0,5.0,1966-02-05,4.547916666666667,0.0,12.426001821493625
1966.0,2.0,6.0,1966-02-06,9.095833333333333,0.0,12.426001821493625
1966.0,2.0,7.0,1966-02-07,0.0,0.0,12.426001821493625
1966.0,2.0,8.0,1966-02-08,0.0,0.0,12.426001821493625
1966.0,2.0,9.0,1966-02-09,1.2633101851851851,0.0,12.426001821493625
1966.0,2.0,10.0,1966-02-10,0.0,0.0,12.426001821493625
1966.0,2.0,11.0,1966-02-11,0.0,0.0,12.426001821493625
1966.0,2.0,12.0,1966-02-12,7.074537037037037,0.0,12.426001821493625
1966.0,2.0,13.0,1966-02-13,0.0,0.0,12.426001821493625
1966.0,2.0,14.0,1966-02-14,0.0,0.0,12.426001821493625
1966.0,2.0,15.0,1966-02-15,0.0,0.0,12.426001821493625
1966.0,2.0,16.0,1966-02-16,0.0,0.0,12.426001821493625
1966.0,2.0,17.0,1966-02-17,74.53530092592592,3.3171519537037035,12.426001821493625
1966.0,2.0,18.0,1966-02-18,37.89930555555556,0.039001786608796295,12.426001821493625
1966.0,2.0,19.0,1966-02-19,0.0,0.012000549722222222,12.426001821493625
1966.0,2.0,20.0,1966-02-20,0.0,0.022001007835648147,12.426001821493625
1966.0,2.0,21.0,1966-02-21,44.97384259259259,0.011000503912037038,12.426001821493625
1966.0,2.0,22.0,1966-02-22,0.0,0.005000229050925926,12.426001821493625
1966.0,2.0,23.0,1966-02-23,4.547916666666667,0.0020000916203703704,12.426001821493625
1966.0,2.0,24.0,1966-02-24,98.79085648148148,0.0,12.426001821493625
1966.0,2.0,25.0,1966-02-25,16.675694444444446,0.0,12.426001821493625
1966.0,2.0,26.0,1966-02-26,0.0,0.0,12.426001821493625
1966.0,2.0,27.0,1966-02-27,0.0,0.0,12.426001821493625
1966.0,2.0,28.0,1966-02-28,0.0,0.0,12.426001821493625
1966.0,3.0,1.0,1966-03-01,0.0,0.0,12.426001821493625
