Year,Month,Day,Date,Percipitation (m3/s),Obs Streamflow (m3/s),PET (m3/s)
1965.0,6.0,24.0,1965-06-24,0.0,0.5870784864583334,2.5546448087431695
1965.0,6.0,25.0,1965-06-25,0.0,0.5160689931712963,2.5546448087431695
1965.0,6.0,26.0,1965-06-26,0.0,0.49306591793981475,2.5546448087431695
1965.0,6.0,27.0,1965-06-27,0.0,0.4940660516203703,2.5546448087431695
1965.0,6.0,28.0,1965-06-28,0.0,0.49506618530092594,2.5546448087431695
1965.0,6.0,29.0,1965-06-29,0.0,0.4960663189814815,2.5546448087431695
1965.0,6.0,30.0,1965-06-30,0.0,0.49306591793981475,2.5546448087431695
1965.0,7.0,1.0,1965-07-01,4.328703703703703,0.49306591793981475,2.5546448087431695
1965.0,7.0,2.0,1965-07-02,0.0,0.4960663189814815,2.5546448087431695
1965.0,7.0,3.0,1965-07-03,61.64074074074074,1.9762642060185183,2.5546448087431695
1965.0,7.0,4.0,1965-07-04,0.0,3.8815189201388893,2.5546448087431695
1965.0,7.0,5.0,1965-07-05,3.9824074074074076,1.6842251643518518,2.5546448087431695
1965.0,7.0,6.0,1965-07-06,1.385185185185185,1.106147880787037,2.5546448087431695
1965.0,7.0,7.0,1965-07-07,0.0,0.9471266211805556,2.5546448087431695
1965.0,7.0,8.0,1965-07-08,0.0,0.9311244818287038,2.5546448087431695
1965.0,7.0,9.0,1965-07-09,0.0,0.8291108437500001,2.5546448087431695
1965.0,7.0,10.0,1965-07-10,0.0,0.7511004144675925,2.5546448087431695
1965.0,7.0,11.0,1965-07-11,4.328703703703703,0.7160957347222222,2.5546448087431695
1965.0,7.0,12.0,1965-07-12,0.0,0.7280973392361111,2.5546448087431695
1965.0,7.0,13.0,1965-07-13,3.1166666666666667,0.7230966707175925,2.5546448087431695
1965.0,7.0,14.0,1965-07-14,0.0,0.8191095065972223,2.5546448087431695
1965.0,7.0,15.0,1965-07-15,0.0,0.8501136515046296,2.5546448087431695
1965.0,7.0,16.0,1965-07-16,0.0,0.744099478587963,2.5546448087431695
1965.0,7.0,17.0,1965-07-17,0.0,0.9671292953703704,2.5546448087431695
1965.0,7.0,18.0,1965-07-18,54.541666666666664,2.289306056712963,2.5546448087431695
1965.0,7.0,19.0,1965-07-19,0.0,1.1771573738425927,2.5546448087431695
1965.0,7.0,20.0,1965-07-20,0.0,0.8721165931712963,2.5546448087431695
1965.0,7.0,21.0,1965-07-21,0.0,0.8091081695601853,2.5546448087431695
1965.0,7.0,22.0,1965-07-22,0.0,0.794106163888889,2.5546448087431695
